2026-05-10 20:09:40 [info] [ClaudeSSHManager] Initialized with version 869762545054f8caf5b0e36192651744a2461d3b
2026-05-10 20:41:19 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 19:52:44 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 19:53:03 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 20:47:30 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 20:47:54 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 20:49:06 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 20:49:45 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 20:50:54 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 20:52:19 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 20:54:26 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 20:54:44 [info] [remote] network-interface change detected; probing SSH controllers
